City_ID,City,Lat,Lng,Max Temp,Current Description,Humidity,Cloudiness,Wind Speed,Country
183,Canhotinho,-8.8822,-36.1911,82.49,broken clouds,53,78,10.54,BR
184,Bafq,31.6128,55.4107,61.52,clear sky,29,0,7.29,IR
185,Flinders,-34.5833,150.8552,61.81,clear sky,87,6,1.01,AU
186,Cubarral,3.7935,-73.8406,82.63,overcast clouds,68,100,6.73,CO
187,Igarka,67.4667,86.5833,29.62,snow,98,100,12.46,RU
188,Luanda,-8.8368,13.2343,80.6,scattered clouds,74,40,12.66,AO
189,Purpe,64.4803,76.6897,31.86,light snow,98,100,9.24,RU
190,Fare,-16.7,-151.0167,78.96,light rain,77,22,13.33,PF
191,Salym,60.0625,71.4789,33.75,overcast clouds,96,99,9.98,RU
192,Zeya,53.75,127.2667,33.17,scattered clouds,87,45,1.81,RU
193,Dikson,73.5069,80.5464,18.1,overcast clouds,80,100,12.77,RU
194,Hami,42.8,93.45,58.96,clear sky,20,0,3.56,CN
195,Grasse,43.6667,6.9167,61.59,clear sky,68,0,6.91,FR
196,Vao,-22.6667,167.4833,72.21,clear sky,80,0,5.95,NC
197,Bardstown,37.8092,-85.4669,58.62,overcast clouds,81,90,0.0,US
198,Mount Isa,-20.7333,139.5,82.17,thunderstorm,39,40,4.61,AU
199,Kavieng,-2.5744,150.7967,80.44,overcast clouds,77,99,8.39,PG
200,Abu Kamal,34.4506,40.9171,75.43,clear sky,23,1,6.08,SY
201,Laguna,38.421,-121.4238,60.3,mist,95,90,3.0,US
202,Quatre Cocos,-20.2078,57.7625,75.31,broken clouds,76,84,8.68,MU
203,Verkhnyaya Inta,65.9811,60.3094,28.81,overcast clouds,76,98,11.5,RU
204,Tuatapere,-46.1333,167.6833,47.48,overcast clouds,79,99,4.18,NZ
205,Boyolangu,-8.1181,111.8935,75.79,overcast clouds,92,94,3.67,ID
206,Semey,50.4111,80.2275,39.42,broken clouds,60,75,8.95,KZ
207,Hambantota,6.1241,81.1185,80.62,scattered clouds,82,27,10.18,LK
208,Grand Gaube,-20.0064,57.6608,75.6,overcast clouds,79,89,1.99,MU
209,Zalantun,48.0,122.7167,36.75,clear sky,59,0,4.63,CN
210,Cururupu,-1.8283,-44.8683,91.33,overcast clouds,46,99,7.43,BR
211,Arinos,-15.9169,-46.1056,92.95,scattered clouds,34,31,2.44,BR
212,Alice Springs,-23.7,133.8833,81.95,scattered clouds,18,40,11.5,AU
213,Yatou,37.15,122.3833,49.57,light rain,58,0,5.01,CN
214,Mehamn,71.0357,27.8492,35.78,snow,55,75,25.32,NO
215,Ponta Do Sol,32.6667,-17.1,73.71,overcast clouds,81,90,5.5,PT
216,Komsomolskiy,40.4272,71.7189,48.92,scattered clouds,46,40,6.91,UZ
217,Namatanai,-3.6667,152.4333,77.72,overcast clouds,81,99,4.63,PG
218,Norman Wells,65.282,-126.8329,39.24,broken clouds,75,75,20.71,CA
219,Bredasdorp,-34.5322,20.0403,64.27,overcast clouds,51,100,18.12,ZA
220,Tura,25.5198,90.2201,66.0,clear sky,74,1,4.07,IN
221,Beyneu,45.3167,55.2,55.99,clear sky,54,7,12.39,KZ
222,West Wendover,40.7391,-114.0733,43.81,clear sky,70,1,3.44,US
223,Nantucket,41.2835,-70.0995,71.74,broken clouds,81,75,16.11,US
224,Vila Do Maio,15.1333,-23.2167,90.39,few clouds,74,15,10.49,CV
225,Varnamo,57.186,14.04,41.31,clear sky,68,7,9.98,SE
226,Pak Chong,14.708,101.4161,73.27,overcast clouds,96,97,8.72,TH
227,The Pas,53.8251,-101.2541,26.62,broken clouds,93,75,8.05,CA
228,Karasjok,69.4719,25.5112,28.51,broken clouds,91,68,6.76,NO
229,Ancud,-41.8697,-73.8203,59.43,few clouds,56,21,9.19,CL
230,Ghorawal,24.7667,82.7833,70.23,clear sky,59,0,5.35,IN
231,Yeppoon,-23.1333,150.7333,74.98,broken clouds,88,54,2.37,AU
232,Kinsale,51.7075,-8.5306,53.24,broken clouds,87,75,8.05,IE
233,Codrington,-38.2667,141.9667,52.68,overcast clouds,90,99,8.41,AU
234,Grand Baie,-20.0182,57.5802,75.67,overcast clouds,79,89,1.99,MU
235,Atar,20.5169,-13.0499,94.32,few clouds,10,20,12.59,MR
236,Sabang,5.8933,95.3214,79.43,overcast clouds,84,100,12.19,ID
237,Guerrero Negro,27.9769,-114.0611,70.52,scattered clouds,71,47,10.4,MX
238,Bagaha,27.1,84.0833,74.19,clear sky,69,0,1.14,IN
239,Ambilobe,-13.2,49.05,77.23,broken clouds,79,84,0.94,MG
240,Campbell River,50.0163,-125.2446,50.72,mist,98,90,3.44,CA
241,Ewa Beach,21.3156,-158.0072,75.15,clear sky,81,1,5.99,US
242,Srednekolymsk,67.45,153.6833,-11.02,scattered clouds,99,37,3.06,RU
243,Gamba,-2.65,10.0,77.27,overcast clouds,85,93,8.39,GA
244,Manzanillo,20.3433,-77.1167,88.38,broken clouds,57,63,3.47,CU
245,Kaffrine,14.1059,-15.5508,100.29,scattered clouds,16,41,4.79,SN
246,Bambous Virieux,-20.3428,57.7575,75.45,broken clouds,83,75,4.61,MU
247,Prince Rupert,54.3161,-130.3201,53.29,moderate rain,77,100,28.77,CA
248,Grindavik,63.8424,-22.4338,43.27,heavy intensity rain,100,90,23.02,IS
249,Taoudenni,22.6783,-3.9836,89.28,clear sky,17,0,3.18,ML
250,Lima,-12.0432,-77.0282,67.39,scattered clouds,56,40,1.99,PE
251,Las Vegas,36.175,-115.1372,72.82,clear sky,32,1,0.0,US
252,Upata,8.0086,-62.3989,83.19,broken clouds,80,75,5.91,VE
253,Sinnamary,5.3833,-52.95,81.63,overcast clouds,83,95,9.17,GF
254,Fallon,39.4735,-118.7774,62.92,broken clouds,34,75,10.36,US
255,Yablonovo,50.8523,37.3574,55.26,clear sky,55,3,10.63,RU
256,Bulgan,48.8125,103.5347,33.49,clear sky,46,0,2.53,MN
257,Mucurapo,10.6667,-61.5333,79.02,overcast clouds,74,88,13.09,TT
258,Buchanan,5.8808,-10.0467,80.56,light rain,85,100,7.96,LR
259,Vila Velha,-20.3297,-40.2925,73.35,broken clouds,73,75,9.22,BR
260,Hasaki,35.7333,140.8333,50.4,overcast clouds,78,100,21.79,JP
261,Kenai,60.5544,-151.2583,39.15,scattered clouds,94,40,9.22,US
262,Puli,23.9664,120.9695,69.22,overcast clouds,92,93,4.52,TW
263,Talnakh,69.4865,88.3972,10.62,overcast clouds,97,92,4.7,RU
264,Cayenne,4.9333,-52.3333,89.64,scattered clouds,77,40,7.0,GF
265,Niimi,34.9833,133.4667,54.75,light rain,94,84,5.17,JP
266,San Cristobal,7.7669,-72.225,84.38,scattered clouds,46,34,6.46,VE
267,Yar-Sale,66.8333,70.8333,27.81,overcast clouds,93,100,7.14,RU
268,Storebo,60.0948,5.2271,46.49,overcast clouds,77,100,13.0,NO
269,Road Town,18.4167,-64.6167,86.2,few clouds,66,20,12.66,VG
270,Sao Jose Da Coroa Grande,-8.8978,-35.1478,83.55,scattered clouds,67,37,12.33,BR
271,Merrill,45.1805,-89.6835,44.37,overcast clouds,72,90,0.0,US
272,Tucurui,-3.7661,-49.6725,87.51,overcast clouds,58,98,3.11,BR
273,Grand-Lahou,5.1367,-5.0242,79.95,broken clouds,80,66,10.16,CI
274,Mantua,45.1667,10.7833,66.52,broken clouds,89,56,1.99,IT
